,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
480,Terryville,80.06,29.19,-97.07,84,1,6.93
481,Nador,66.07,35.17,-2.93,78,0,5.82
482,Sharjah,77.9,25.36,55.39,74,0,5.82
483,Ahipara,62.74,-35.17,173.16,82,8,3.4
484,Saint Anthony,68.02,43.97,-111.68,4,90,13.87
485,Verkhnevilyuysk,38.17,63.45,120.31,100,92,5.41
486,Bail Hongal,69.04,15.82,74.87,96,68,2.51
487,Dombarovskiy,34.66,50.76,59.54,66,0,8.43
488,Kambja,44.6,58.23,26.7,87,20,5.82
489,Ellensburg,52.61,47,-120.55,48,20,20.8
490,Norwich,51.13,52.63,1.29,81,0,6.93
491,Oranjemund,59.32,-28.55,16.43,87,20,30.8
492,Mogadishu,78.58,2.04,45.34,98,80,14.7
493,Iskateley,35.47,67.68,53.15,100,88,10
494,Phuket,78.44,7.89,98.4,83,20,3.36
495,Jiuquan,26.2,39.73,98.49,63,0,3.96
496,Batagay-Alyta,5.77,67.8,130.41,52,12,2.73
497,Eureka,62.26,40.8,-124.16,96,90,4.7
498,Sur,82.54,22.57,59.53,96,0,4.41
499,Ossora,43.75,59.24,163.07,100,92,10.33
500,Along,62.02,28.17,94.8,98,92,1.72
501,Zeya,40.51,53.74,127.27,57,0,3.06
502,Camarillo,69.51,34.22,-119.04,70,75,5.82
503,San Quintin,84.2,17.54,120.52,62,20,9.17
504,Halifax,53.71,44.65,-63.58,87,90,11.41
505,Cabo San Lucas,81.55,22.89,-109.91,83,75,4.7
506,Ola,44.6,59.58,151.3,100,0,4.47
507,Tarko-Sale,25.75,64.92,77.78,93,44,4.29
508,Havelock,75.2,34.88,-76.9,81,1,5.82
509,Aklavik,37.4,68.22,-135.01,55,40,8.05
510,Mendoza,64.4,-32.89,-68.84,52,0,3.36
511,Yokadouma,71.74,3.52,15.05,93,68,1.72
512,Townsville,80.6,-19.26,146.82,39,0,17.22
513,Zenzeli,55.36,45.92,47.05,85,76,7.31
514,Marau,63.37,-28.45,-52.2,100,92,7.65
515,Sembabule,60.22,-0.08,31.46,93,76,2.95
516,Mandan,51.08,46.83,-100.89,96,90,8.05
517,Rorvik,39.07,64.86,11.24,100,56,3.4
518,Tingi,69.49,-11.3,35.03,100,0,5.97
519,Kaduqli,69.94,11.01,29.72,94,0,2.62
520,Kainantu,76.06,-6.29,145.87,67,0,1.72
521,Ranong,77,9.96,98.62,100,20,5.19
522,Dhidhdhoo,78.67,6.88,73.1,100,88,12.24
523,Sawakin,73.09,19.1,37.33,92,56,3.96
524,Keti Bandar,80.47,24.14,67.45,99,0,10
525,Yermakovskoye,38.17,53.28,92.4,97,92,7.65
526,Gamba,17.47,28.28,88.52,62,24,2.28
527,Ballitoville,65.08,-29.54,31.21,79,68,10.45
528,Maamba,53.38,-17.36,27.22,50,0,3.74
529,Merauke,81.82,-8.49,140.4,77,68,16.93
530,Northam,57.2,51.04,-4.21,87,20,8.05
531,Siocon,82.54,11.03,124.04,100,20,11.79
532,Dudinka,32.77,69.41,86.18,95,80,10.67
533,Concepcion del Uruguay,51.67,-32.48,-58.24,68,0,5.19
534,Port Blair,84.52,11.67,92.75,100,12,3.4
535,Pindwara,65.44,24.79,73.05,89,0,2.62
536,Coxim,72.19,-18.5,-54.75,93,24,2.62
537,Golyshmanovo,45.73,56.4,68.37,81,92,7.43
538,Meadow Lake,35.6,54.13,-108.44,47,40,6.93
539,Pangnirtung,23.95,66.15,-65.72,85,20,6.76
540,Darnah,78.22,32.77,22.64,94,68,16.93
541,Abeche,71.47,13.83,20.83,52,20,3.74
542,Kamenka,51.76,53.19,44.05,94,92,7.76
